protein_id,matrixdb_ecm,matrisome,species_ncbi,go_terms,keywords,dataset,interaction_count
P56832,True,,9940,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P56831,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P56830,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P01825,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q24K02,True,,9913,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q61581,True,ECM Glycoproteins|Core matrisome,10090,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q99MF4,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0G2JMI3,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0J9YX35,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0B4J1U7,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0J9YXX1,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0C4DH38,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
P0DTE2,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A0A0C4DH41,True,,9606,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6GXJ1,True,,9031,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9BDJ6,True,,9913,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q30KJ2,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q62867,True,,10116,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q61559,True,,10090,Extracellular space,,Swiss-Prot,0
Q8R089,True,,10090,Extracellular space,,Swiss-Prot,0
A2AV25,True,,10090,Extracellular space,,Swiss-Prot,0
P55052,True,,9913,Extracellular space,Extracellular space/secreted,Swiss-Prot,0
P19112,True,,10116,Extracellular space,,Swiss-Prot,0
P11547,True,,9940,Extracellular region,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q99372,True,,10116,Extracellular region|Extracellular space,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
B4F785,True,,10116,Basement membrane|Extracellular matrix,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
A3KN33,True,ECM Glycoproteins|Core matrisome,9913,,Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
Q6MG84,True,,10116,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
A5A8Y8,True,,9823,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6GUQ1,True,Secreted Factors|Matrisome-associated,10090,Extracellular region,Extracellular space/secreted,Swiss-Prot,0
Q6AZ60,True,,10116,Extracellular region|Extracellular space,Extracellular space/secreted,Swiss-Prot,0
Q9JJZ5,True,Secreted Factors|Matrisome-associated,10090,Basement membrane|Extracellular matrix|Extracellular region,Basement membrane|Extracellular matrix|Extracellular space/secreted,Swiss-Prot,0
